Período,Atividade
2ª quinzena de Outubro (2013),Familiarização com a \emph{Toolbox} NNET do MATLAB
1ª quinzena de Novembro,Implementação das redes neurais do método 1
2ª quinzena de Novembro,Implementação das redes neurais do método 2
1ª quinzena de Dezembro,Implementação das redes neurais do método 3
2ª quinzena de Janeiro (2014),Tentativa de adaptação dos métodos para simulação
1ª quinzena de Fevereiro,Tentativa de adaptação dos métodos para simulação
2ª quinzena de Fevereiro,Compilação dos resultados; comparação em termos de confiabilidade e eficiência; escolha do melhor método; início da escrita da monografia (TG2)
Março,Escrita da monografia
Abril,Escrita da monografia
Maio,Escrita da monografia
Junho,Conclusão da monografia; revisão final e entrega
