RecordName,Sensitivity,Specificity,PositivePred,NegativePred,Accuracy,FailureRate
e0103, NaN,100.0,  NaN,100.0,100.0, 0.0
e0104,92.5, 99.8, 95.7, 99.7, 99.6, 0.4
e0105,99.1, 99.3, 98.4, 99.6, 99.2, 0.8
e0106,86.0,100.0, 94.2, 99.9, 99.8, 0.2
e0107,93.4, 99.3, 91.3, 99.5, 98.9, 1.1
e0108,98.5, 99.9, 98.5, 99.9, 99.9, 0.1
e0110,95.3,100.0, 95.3,100.0, 99.9, 0.1
e0111,96.7,100.0, 98.9, 99.9, 99.9, 0.1
e0112,99.4, 99.8, 99.7, 99.6, 99.6, 0.4
e0113,93.3, 99.8, 95.2, 99.6, 99.4, 0.6
e0114,92.6, 99.5, 94.7, 99.3, 98.9, 1.1
e0115,82.9, 99.9, 90.0, 99.8, 99.8, 0.2
e0116,89.6, 99.4, 88.4, 99.5, 98.9, 1.1
e0118,96.4, 99.8, 97.9, 99.7, 99.5, 0.5
e0119,95.4, 99.5, 96.3, 99.3, 98.9, 1.1
e0121,97.9, 99.9, 98.2, 99.9, 99.8, 0.2
e0122,99.5,100.0, 99.5,100.0,100.0, 0.0
e0123,96.5, 99.6, 97.9, 99.3, 99.1, 0.9
e0124,88.2, 96.8, 89.3, 96.5, 94.8, 5.2
e0125,95.1, 99.7, 93.7, 99.7, 99.4, 0.6
e0126,94.2, 99.9, 97.3, 99.7, 99.6, 0.4
e0127,99.5,100.0, 99.8,100.0,100.0, 0.0
e0129,97.2, 99.5, 97.4, 99.5, 99.2, 0.8
e0133, NaN,100.0,  NaN,100.0,100.0, 0.0
e0136,59.0, 99.6, 86.9, 98.2, 97.9, 2.1
e0139,66.1, 98.7, 77.1, 97.7, 96.6, 3.4
e0147,83.3,100.0, 95.6, 99.8, 99.7, 0.3
e0148, NaN,100.0,  NaN,100.0,100.0, 0.0
e0151, NaN,100.0,  NaN,100.0,100.0, 0.0
e0154, NaN,100.0,  NaN,100.0,100.0, 0.0
e0155, NaN,100.0,  NaN,100.0,100.0, 0.0
e0159, NaN,100.0,  NaN,100.0,100.0, 0.0
e0161,88.1, 96.0, 85.7, 96.7, 94.3, 5.7
e0162, NaN,100.0,  NaN,100.0,100.0, 0.0
e0163, NaN,100.0,  NaN,100.0,100.0, 0.0
e0166,94.0, 99.5, 94.2, 99.5, 99.1, 0.9
e0170,66.5, 99.6, 80.1, 99.2, 98.8, 1.2
e0202,88.4, 96.0, 89.8, 95.4, 93.9, 6.1
e0203,97.7, 99.2, 97.6, 99.2, 98.8, 1.2
e0204,24.8, 99.9, 80.0, 99.0, 99.0, 1.0
e0205,83.9, 98.5, 85.6, 98.2, 97.0, 3.0
e0206,81.5, 96.6, 87.8, 94.6, 93.1, 6.9
e0207,92.2, 97.9, 93.7, 97.3, 96.4, 3.6
e0208,58.7, 98.6, 82.1, 95.7, 94.7, 5.3
e0210,98.5, 99.1, 96.1, 99.6, 99.0, 1.0
e0211,69.6, 96.9, 83.5, 93.5, 92.0, 8.0
e0212,95.0, 99.7, 94.8, 99.7, 99.5, 0.5
e0213,64.1, 91.1, 73.9, 86.6, 83.5,16.5
e0302,89.3, 99.7, 94.8, 99.3, 99.0, 1.0
e0303, NaN,100.0,  NaN,100.0,100.0, 0.0
e0304, NaN,100.0,  NaN,100.0,100.0, 0.0
e0305,82.5, 92.9, 89.1, 88.3, 88.6,11.4
e0306,90.4, 98.5, 92.2, 98.2, 97.2, 2.8
e0403,89.8, 99.9, 89.1, 99.9, 99.7, 0.3
e0404,96.6, 99.5, 94.5, 99.7, 99.3, 0.7
e0405,84.7, 98.4, 86.6, 98.1, 96.9, 3.1
e0406,94.2, 98.2, 95.2, 97.8, 97.1, 2.9
e0408,90.3, 98.1, 83.2, 99.0, 97.4, 2.6
e0409, NaN,100.0,  NaN,100.0,100.0, 0.0
e0410,97.3,100.0, 98.6, 99.9, 99.9, 0.1
e0411,80.1, 98.9, 85.8, 98.4, 97.6, 2.4
e0413,88.7, 99.9, 93.2, 99.9, 99.8, 0.2
e0415,70.9, 89.6, 77.8, 85.7, 83.3,16.7
e0417,81.9, 98.8, 92.7, 96.8, 96.2, 3.8
e0418,47.3, 98.6, 70.2, 96.5, 95.4, 4.6
e0501, NaN,100.0,  NaN,100.0,100.0, 0.0
e0509, NaN,100.0,  NaN,100.0,100.0, 0.0
e0515,98.6, 99.8, 96.6, 99.9, 99.8, 0.2
e0601, NaN,100.0,  NaN,100.0,100.0, 0.0
e0602,40.9, 97.7, 67.3, 93.4, 91.7, 8.3
e0603,92.8, 99.7, 94.8, 99.5, 99.2, 0.8
e0604,93.4, 99.4, 95.7, 99.0, 98.6, 1.4
e0605,97.7, 99.4, 97.2, 99.5, 99.1, 0.9
e0606,99.4, 99.9, 99.6, 99.9, 99.8, 0.2
e0607,98.1, 93.0, 96.1, 96.7, 96.3, 3.7
e0609,61.4, 98.8, 75.9, 97.6, 96.6, 3.4
e0610,93.7, 99.7, 98.1, 99.0, 98.8, 1.2
e0611, NaN,100.0,  NaN,100.0,100.0, 0.0
e0612,97.9, 99.9, 97.9, 99.9, 99.9, 0.1
e0613,85.0, 97.1, 90.2, 95.3, 94.2, 5.8
e0614,87.9, 82.6, 87.6, 83.0, 85.7,14.3
e0615,51.9,100.0, 93.2, 99.5, 99.4, 0.6
e0704, NaN,100.0,  NaN,100.0,100.0, 0.0
e0801,84.6, 98.4, 85.5, 98.3, 97.0, 3.0
e0808,59.5, 99.4, 81.0, 98.3, 97.8, 2.2
e0817, NaN,100.0,  NaN,100.0,100.0, 0.0
e0818,78.8, 94.0, 81.5, 92.9, 90.2, 9.8
e1301, NaN,100.0,  NaN,100.0,100.0, 0.0
e1302,68.0, 99.6, 81.9, 99.2, 98.8, 1.2
e1304,57.1,100.0,100.0, 99.9, 99.9, 0.1
Média,84.8, 98.8, 90.9, 98.3, 97.9, 2.1
